id,customer_id,atendimento_numero,data_contato,canal,atendente,produto,lote,data_fabricacao,local_compra,transportador,nf_produto,natureza_pedido,tipo_reclamacao,descricao,link_reclamacao,acao_orientacao,status,gravidade,custo_estimado,data_fechamento,created_at,updated_at,created_by,order_id
88237f45-90f6-477f-b3f4-9a01f05dd49c,92b1873f-9b37-4c53-8ddb-a00e4df3ae91,SAC_102025,2025-10-03 00:00:00+00,,Zazá,ORIGINAL 90G,,,SITE COMIDA DE DRAGÃO,Loggi,,QUANTIDADE,,Comprou 2 originais e veio apenas 1,,Enviamos novamente,fechada,,,2025-10-03 00:00:00+00,2026-02-27 14:38:06.641034+00,2026-02-27 14:38:06.641034+00,,
8c03019c-8a0a-4c28-aa45-4ef13f4391f7,4a6b5bd3-beae-4023-a942-89764fcb48ef,SAC_032025,2025-10-03 00:00:00+00,Instagram,Beatriz,ORIGINAL 90G,,,SITE COMIDA DE DRAGÃO,,,ATENDIMENTO,,"Ela comprou 5 pacotes de original, mas recebeu somente 1",,Enviamos o restante do pedido,fechada,,,2025-10-03 00:00:00+00,2026-02-27 14:38:03.734002+00,2026-02-27 14:38:03.734002+00,,
635c1763-f3db-428c-8527-f26842866056,2d9992d3-304a-499c-83ad-8616a9673bfc,SAC_012025,2025-10-15 00:00:00+00,E-mail,Bruno Multedo,ÓLEO DE BSF,oleo052025,2025-05-02,LETS FLY,,613,PRODUTO,,24 kg do óleo com impurezas - fora do padrão. Questionamento sobre a filtragem do produto.,,"Descarte do produto - envio de 25,5 kg em substituição.",fechada,,,2025-10-15 00:00:00+00,2026-02-27 14:38:03.036538+00,2026-02-27 14:38:03.036538+00,,
49f0d958-5965-4a83-8a26-286d9695343d,9fad3757-3da4-40fd-9b64-1737b6fbda2c,SAC_052025,2025-10-28 00:00:00+00,Instagram,Beatriz,KIT DE AMOSTRAS,,,SITE COMIDA DE DRAGÃO,,,ENTREGA,,"O código de acompanhamento diz que o pedido foi entregue, mas ela relata que não",,Enviamos novamente,fechada,,,2025-10-28 00:00:00+00,2026-02-27 14:38:04.46624+00,2026-02-27 14:38:04.46624+00,,
a91778a0-05f7-43d0-a331-8a363863ff0b,d9f49c7b-aaf4-4663-ae95-849911a9a73d,SAC_072025,2025-10-29 00:00:00+00,Whatsapp,Zazá,KIT DE AMOSTRAS,,,SITE COMIDA DE DRAGÃO,Loggi,,ENTREGA,,Pedido não entregue / Dado como entregue porém não recebido.,,Enviamos novamente,fechada,,,2025-10-29 00:00:00+00,2026-02-27 14:38:05.293499+00,2026-02-27 14:38:05.293499+00,,
5bfb73d0-470b-44a7-b64a-6690b2257351,c760270d-48d2-4bb5-a017-df0fcdf06d76,SAC_022025,2025-10-29 00:00:00+00,E-mail,Marcelle,FARINHA DESENGORDURADA,FDEG072025,2025-07-30,LETS FLY,,,PRODUTO,,"Uma heterogeneidade dos grânulos, apontando possível falha na trituração.",,Informaram o número do lote e solicitaram a troca. Brunão alinhando.,fechada,,,2025-10-29 00:00:00+00,2026-02-27 14:38:03.498352+00,2026-02-27 14:38:03.498352+00,,
3c1da5bf-8761-45e5-8122-48234e972d03,5117762b-4984-483c-95df-5a6a46f11f09,SAC_082025,2025-10-31 00:00:00+00,Whatsapp,Zazá,KIT DE AMOSTRAS,,,SITE COMIDA DE DRAGÃO,Loggi,,ENTREGA,,Pedido devolvido,,Enviamos novamente,fechada,,,2025-10-31 00:00:00+00,2026-02-27 14:38:05.930118+00,2026-02-27 14:38:05.930118+00,,
7a697e3b-56a1-4dc6-82e5-8ac9e50ad2c8,fbde3e60-2de1-4bae-b8d5-882ab8867841,SAC_112025,2025-11-01 00:00:00+00,,Zazá,ORIGINAL 90G,,,SITE COMIDA DE DRAGÃO,Loggi,,ENTREGA,,Não recebeu,,Enviamos novamente,aberta,,,,2026-02-27 14:38:07.156422+00,2026-02-27 14:38:07.156422+00,,
a55b07bf-9c52-4cb8-b6f1-504ee4aa773b,9b6b4522-e5df-4d37-b18e-efbdd7516bfa,SAC_092025,2025-11-01 00:00:00+00,,Bruno Multedo,KIT COMPLETO CD,,,SITE COMIDA DE DRAGÃO,Loggi,,ENTREGA,,Pedido devolvido,,Enviamos novamente,fechada,,,2025-11-01 00:00:00+00,2026-02-27 14:38:06.400638+00,2026-02-27 14:38:06.400638+00,,
d24f328d-8144-420e-a641-217aa61ac533,ea219a38-2fc0-4b4e-abf0-2b3d04dc8ce2,SAC_172025,2025-11-04 00:00:00+00,,Zazá,,,,SITE COMIDA DE DRAGÃO,Correios,,ENTREGA,,Pedido devolvido,,Enviamos novamente,aberta,,,,2026-02-27 14:38:09.351007+00,2026-02-27 14:38:09.351007+00,,
