id,customer_id,data_contato,tipo,motivo,resumo,responsavel,resultado,created_at,created_by
88e40214-484f-48d1-8f2e-09309c132d46,5514b1fd-32e4-45ae-b993-46b8cf145450,2026-03-02 17:53:29.288654+00,whatsapp,Troca de produto,Cliente comprou errado no site e pediu para trocar os produtos. Estamos vendo se é possivel. ,Priscila,,2026-03-02 17:53:29.288654+00,42a35af1-f695-4dab-b120-2c14183b2b6f
fb2d37cc-202c-44c0-9b31-33195c2ae65b,d6978b13-6592-477a-8f80-882f453b3d17,2026-03-02 17:54:13.616002+00,outro,Info Sobre Cliente,Apresentadora do Pequenas Empresas Grandes Negócios,,,2026-03-02 17:54:13.616002+00,42a35af1-f695-4dab-b120-2c14183b2b6f
d41d7fc0-9eef-4be9-a211-e24aad46fcdf,d1a3ce72-7fa9-41c5-ab2f-2f01131d2ce5,2026-03-02 18:28:21.977826+00,whatsapp,followup amostras,Cliente ainda não experimentou. ,Priscila ,,2026-03-02 18:28:21.977826+00,42a35af1-f695-4dab-b120-2c14183b2b6f
cfcd506c-602d-4dce-aa92-97fe971d75fb,3a9b4a8d-36e9-43d8-94f6-3dcd2855e3b7,2026-03-03 19:50:29.582451+00,whatsapp,followup amostras ,"entrei em contato com a cliente para saber o motivo de não ter realizado a recompra depois da amostra. 
- O gato não gostou. Enviei informações sobre transição alimentar. ",Priscila,Pet não comeu ,2026-03-03 19:50:29.582451+00,42a35af1-f695-4dab-b120-2c14183b2b6f
53ee8032-5f97-496e-a4ba-99e14b781291,eaeabd56-e3ac-4159-a8f9-f664de481cca,2026-03-04 14:40:37.470673+00,whatsapp,follow-up amostras,"pesquisa para saber porque o cliente não fez outra compra após receber amostras. 
- O gato não aceitou. 
- Enviei sugestões para adaptação e cupom de desconto CORAGEM. ",Priscila,,2026-03-04 14:40:37.470673+00,42a35af1-f695-4dab-b120-2c14183b2b6f
dc5301e5-964f-404f-b6eb-e90269ec7f25,f14fa4f0-12fb-41c9-8e78-235b5ea496a3,2026-03-04 14:48:47.046222+00,whatsapp,follow-up amostras,"pesquisa para saber porque o cliente não fez outra compra após receber amostras: 
- gato não adaptou 
Enviei sugestões para adaptação, artigo do blog sobre gatos e os benefícios, cupom de desconto CORAGEM. ",Priscila,,2026-03-04 14:48:47.046222+00,42a35af1-f695-4dab-b120-2c14183b2b6f
f8084efd-bd87-4cae-86bb-863fd3d01a4a,764eade7-a2bb-4eb4-9055-59d89fc53cac,2026-03-04 15:57:59.254279+00,whatsapp,Follow-up amostras,"pesquisa para saber porque o cliente não fez outra compra após receber amostras: 
Pet gostou muito do petisco
Enviei mensagem de incentivo e cupom de desconto para uma segunda compra. 
",Priscila ,,2026-03-04 15:57:59.254279+00,42a35af1-f695-4dab-b120-2c14183b2b6f
984a45ee-c4a6-483b-ac4b-c997b09e8d90,f1fda75f-b079-4397-b396-723ea17bf087,2026-03-05 14:37:49.190473+00,whatsapp,follow up amostras ,"Objetivo: Entender o motivo da não recompra após envio de amostra.

Resumo da conversa: A cliente que realizou o teste com seu gato, porém o animal não demonstrou interesse pelo alimento. O principal motivo da não recompra foi a rejeição inicial do pet.

Ação: Expliquei que gatos podem precisar de um período de adaptação para aceitar novos alimentos e enviei orientações de introdução gradual do produto. Também foi disponibilizado um cupom de desconto para uma nova compra, incentivando um novo teste com adaptação correta.",Priscila,,2026-03-05 14:37:49.190473+00,42a35af1-f695-4dab-b120-2c14183b2b6f
4fc33529-3ea7-43a1-865a-1bde240cb3a1,22974625-693f-4791-b071-5ef12e7279d5,2026-03-06 13:00:01.268005+00,whatsapp,cachorro não aceitou ,"A cachorra não aceitou a Original e a cliente comprou 3 pacotes! Perguntou se era possível realizar a troca. 
Enviei umas dicas para introdução alimentar, com incentivos para tentar. 
Caso retorne verificar procedimento de troca. ",Priscila,Reembolso,2026-03-06 13:00:01.268005+00,42a35af1-f695-4dab-b120-2c14183b2b6f
2339e0d9-449e-4634-9b3e-a7d04742e4ff,35bdacfd-61cb-481e-a70c-d09719c3ed3f,2026-03-06 15:02:05.727986+00,whatsapp,followup amostras,"Objetivo: Entender o motivo da não recompra após envio de amostra.

Cliente informou que o gato não gostou e que deu as amostras para uma amiga que tem cachorro e gostou. 
Enviei mais informações sobre a introdução do alimento, um artigo do blog sobre o valor nutricional para os gatos e cupom CORAGEM para prox compra. indicando o suplemento para gatos. ",Priscila,,2026-03-06 15:02:05.727986+00,42a35af1-f695-4dab-b120-2c14183b2b6f
5fc8a2d3-6339-4048-b764-5443d9b0412a,524a8a5a-e7e7-4456-8f69-236fcd2ce152,2026-03-06 15:12:17.365889+00,whatsapp,Código de rastreio,"Cliente entrou em contato para saber mais detalhes sobre o envio do pedido que estava atrasado. 
O pedido já tinha sido recebido pela portaria do prédio mas a cliente não tinha sido notificada. ",Priscila,,2026-03-06 15:12:17.365889+00,42a35af1-f695-4dab-b120-2c14183b2b6f
39cab4f4-2e24-4275-9664-3fec92cfa2d0,e2cafbdd-f58c-4bc4-9dfa-93daf8a1bd6d,2026-03-11 12:42:34.531189+00,whatsapp,Follow up amostras,"Pesquisa de consumo pós-amostra
Tipo de interação:
 Pesquisa de consumo pós-amostra, com objetivo de identificar as principais barreiras que impedem a conversão de leads que receberam amostra em clientes pagantes. 
Resumo da conversa:
Foi enviada uma mensagem para cada cliente, perguntando porque adquiriu as amostras e não retornou para uma nova compra. 
Cliente respondeu que o pet amou o petisco, mas ainda não deu pra realizar a compra. Que achou o preço justo pela qualidade do alimento, levando em consideração que os petiscos mais baratos tem quantidade e qualidade de proteínas inferiores.
Agradeci por ter respondido a pesquisa e ofereci um cupom de desconto para incentivar a fazer a compra no site. ",Priscila,,2026-03-11 12:42:34.531189+00,42a35af1-f695-4dab-b120-2c14183b2b6f
8c8aaef3-c4e3-4807-8c8c-956c4bd57dad,c85c8cf5-845d-4b75-b8c2-6abc3a203e83,2026-03-11 12:56:36.015017+00,whatsapp,gato não comeu - amostras,"Cliente entrou em contato para informar que as amostras chegaram e que os gatos não comeram pedindo dicas. 
Respondi com dicas para adaptação e explicando que as vezes leva um tempo para os gatos acostumarem. 
",Priscila,,2026-03-11 12:56:36.015017+00,42a35af1-f695-4dab-b120-2c14183b2b6f
3562bd31-af27-413f-a4cf-2d89df9f2d65,be032643-173a-4bbc-aff1-790cf00a4ebe,2026-03-11 13:25:11.947201+00,whatsapp,gato não comeu - amostras,"Cliente entrou em contato para informar que a gata não quer comer, mas que vai continuar tentando. 
Respondi com dicas para adaptação da gata e frases motivacionais. ",Priscila,,2026-03-11 13:25:11.947201+00,42a35af1-f695-4dab-b120-2c14183b2b6f
02c99f65-7694-4531-a359-6e8047af005e,fbcb22e9-1d83-425b-a3f5-7adf8133e861,2026-03-12 13:12:27.903692+00,whatsapp,parceria ,"Cliente entrou em contato informando que dará uma festa de aniversario para cachorrinhos com 100 convidados cachorros. E gostaria de uma parceria com  a Comida de Dragão, para fornecer os petiscos da festa. 
Enviei o telefone da Luana para a cliente entrar em contato. ",Priscila,,2026-03-12 13:12:27.903692+00,42a35af1-f695-4dab-b120-2c14183b2b6f
40d943f4-722d-4014-948a-3e484cff322a,fdea9410-1561-4eb3-ac93-8f85f0bf0d29,2026-03-13 14:06:47.551548+00,whatsapp,Follow up amostras ,"Tipo de interação:
 Pesquisa de consumo pós-amostra, com objetivo de identificar as principais barreiras que impedem a conversão de leads que receberam amostra em clientes pagantes. 

Resumo da conversa:
Foi enviada uma mensagem para cada cliente, informando que percebemos que tinha adquirido as amostras mas não retornou para uma nova compra. 

-Cliente respondeu que ficou com nojo mas o pet amou o petisco. 
E que achou o valor caro em relação aos outros petiscos naturais que ela ja compra. 

- enviei um artigo do blog que fala sobre o bloqueio que as pessoas têm com a bsf, que é benéfico para o cachorro. e importante que gostou. expliquei a diferença do Comida de Dragão para outros petiscos. Valorizando o valor do produto. 
Informei sobre a campanha da semana do consumidor, para a cliente aproveitar a promoção. 

",Priscila,,2026-03-13 14:06:47.551548+00,42a35af1-f695-4dab-b120-2c14183b2b6f
10c3116a-879e-4086-918d-bc6d96d70179,ed05ea54-79b5-44d5-be37-bd1c19ae0909,2026-03-13 14:53:22.28178+00,whatsapp,follow up amostras,"Tipo de interação:
 Pesquisa de consumo pós-amostra, com objetivo de identificar as principais barreiras que impedem a conversão de leads que receberam amostra em clientes pagantes. 

Resumo da conversa:
Foi enviada uma mensagem para cada cliente, informando que percebemos que tinha adquirido as amostras mas não retornou para uma nova compra. 

-Cliente respondeu que os gatos não gostaram.
- Informei que a adaptação dos gatos pode demorar um tempo e perguntei como foi com o cachorro. 
Enviei dicas para a adaptação com o alimento, artigo do blog que cita os benefícios da Comida de Dragão para gatos  e  um cupom de desconto. ",Priscila,,2026-03-13 14:53:22.28178+00,42a35af1-f695-4dab-b120-2c14183b2b6f
4a184e48-83a9-491e-a8da-0ca0b4b68415,582296bf-7746-440e-a066-ed24f96649be,2026-03-17 14:16:13.39502+00,whatsapp,follow up amostras,"Tipo de interação:
 Pesquisa de consumo pós-amostra, com objetivo de identificar as principais barreiras que impedem a conversão de leads que receberam amostra em clientes pagantes. 

Resumo da conversa:
Foi enviada uma mensagem para cada cliente, informando que percebemos que tinha adquirido as amostras mas não retornou para uma nova compra. 

O Apolo é o mais iluminado da casa Camila, ele entendeu a revolução antes dos outros 😂

Mas olha, o fato de cheirarem já é um ótimo sinal, o interesse tá lá! 

Com gatos a aceitação é bem gradual mesmo. Tenta misturar aos poucos na comida favorita deles, pode ser úmida, e vai aumentando aos poucos. 

Em pouco tempo o Apolo vai ter feito a cabeça de todos os 8. 

E essa é a Semana do Consumidor aqui com o Dragão e tá rolando 30% OFF em todo o site! 
O momento perfeito para garantir mais pro Apolo!!

🔥 comidadedragao.com.br 

Qualquer dúvida é só chamar! 	
Priscila | Time Comida de Dragão
",Priscila,,2026-03-17 14:16:13.39502+00,42a35af1-f695-4dab-b120-2c14183b2b6f
b593db51-cb54-477d-ba91-f0987e36c644,502f2eb8-8fe5-4b61-81c3-a5f127c6c7b6,2026-03-18 19:54:13.121731+00,whatsapp,gato não comeu - amostras,"Cliente respondeu um envio automático de mensagem informando que o gato dela não gostou e que deu a amostra para o cachorro de uma amiga e que ele gostou. 

Agradecia  a gentileza por ter compartilhado com a amiga e enviei um artigo do blog que fala sobre a adaptação alimentar  dos gatos. 

Conversa: 

Oi, queridos, eu lastimo, já informei que meus gatos não comeram, dei para a cadelinha de uma vizinha, ela gostou, dei os dados de vocês, possível que ela encomende.

Oi Marlise!
Sou a Priscila do time Comida de Dragão! 

Obrigada por indicar a gente pra sua vizinha, fico feliz que a cadelinha tenha aprovado! 

E se quiser tentar de novo com seus gatos no futuro, a gente tem algumas dicas para facilitar a aceitação, com os gatos o processo é mais demorado mesmo. 

Caso tenha interesse, temos um artigo no blog com dicas para facilitar a aceitação: https://www.comidadedragao.com.br/blogs/news/como-introduzir-proteina-de-insetos-na-rotina-do-seu-gato-sem-erro-e-sem-rejeicao

Estamos aqui sempre 💚

Qualquer dúvida é só chamar! 	
Priscila | Time Comida de Dragão

",Priscila,,2026-03-18 19:54:13.121731+00,42a35af1-f695-4dab-b120-2c14183b2b6f
