id,date,dimension_type,dimension_value,sessions,users,new_users,bounce_rate,avg_session_duration,transactions,created_at,pages_per_session
16,2025-03-13,city,Rio de Janeiro,95,88,85,0.39,163.70,3,2026-03-13 11:32:43.867769+00,0
17,2025-03-13,city,Sao Paulo,64,57,54,0.36,164.10,0,2026-03-13 11:32:43.867769+00,0
18,2025-03-13,city,(not set),63,60,61,0.41,26.10,0,2026-03-13 11:32:43.867769+00,0
23,2025-03-13,city,Belo Horizonte,21,19,16,0.14,425.80,0,2026-03-13 11:32:43.867769+00,0
29,2025-03-13,city,Fortaleza,13,12,11,0.54,10.44,0,2026-03-13 11:32:43.867769+00,0
30,2025-03-13,city,Salvador,13,13,12,0.38,42.38,0,2026-03-13 11:32:43.867769+00,0
31,2025-03-13,city,Brasilia,12,12,12,0.33,29.08,0,2026-03-13 11:32:43.867769+00,0
36,2025-03-13,city,Curitiba,9,9,9,0.44,9.03,0,2026-03-13 11:32:43.867769+00,0
37,2025-03-13,city,Porto Alegre,9,8,6,0.56,9.42,0,2026-03-13 11:32:43.867769+00,0
39,2025-03-13,city,Campinas,8,8,8,0.25,44.66,0,2026-03-13 11:32:43.867769+00,0
40,2025-03-13,city,Recife,8,8,8,0.50,16.21,0,2026-03-13 11:32:43.867769+00,0
43,2025-03-13,city,Natal,7,7,7,0.57,9.09,0,2026-03-13 11:32:43.867769+00,0
49,2025-03-13,city,Juiz de Fora,5,5,5,0.20,19.62,0,2026-03-13 11:32:43.867769+00,0
50,2025-03-13,city,Maceio,5,5,5,0.40,4.10,0,2026-03-13 11:32:43.867769+00,0
51,2025-03-13,city,Miguel Pereira,5,2,0,0.40,566.88,0,2026-03-13 11:32:43.867769+00,0
52,2025-03-13,city,Niteroi,5,4,4,0.00,83.19,0,2026-03-13 11:32:43.867769+00,0
53,2025-03-13,city,Sao Gabriel,5,3,2,0.00,3534.97,0,2026-03-13 11:32:43.867769+00,0
59,2025-03-13,city,Goiania,4,4,4,0.25,8.64,0,2026-03-13 11:32:43.867769+00,0
60,2025-03-13,city,Jaboatao dos Guararapes,4,4,4,1.00,2.34,0,2026-03-13 11:32:43.867769+00,0
68,2025-03-13,city,Abreu e Lima,3,2,2,1.00,0.00,0,2026-03-13 11:32:43.867769+00,0
69,2025-03-13,city,Belford Roxo,3,3,3,0.33,103.61,0,2026-03-13 11:32:43.867769+00,0
70,2025-03-13,city,Botucatu,3,3,3,0.33,7.14,0,2026-03-13 11:32:43.867769+00,0
71,2025-03-13,city,Camaragibe,3,3,2,0.67,1.65,0,2026-03-13 11:32:43.867769+00,0
72,2025-03-13,city,Campina Grande,3,3,3,0.67,3.75,0,2026-03-13 11:32:43.867769+00,0
73,2025-03-13,city,Gravatai,3,2,2,0.33,75.46,0,2026-03-13 11:32:43.867769+00,0
74,2025-03-13,city,Joao Monlevade,3,3,3,0.33,29.83,0,2026-03-13 11:32:43.867769+00,0
75,2025-03-13,city,Lagoa Santa,3,3,3,0.67,3.37,0,2026-03-13 11:32:43.867769+00,0
76,2025-03-13,city,Luziania,3,3,3,0.67,0.64,0,2026-03-13 11:32:43.867769+00,0
77,2025-03-13,city,Mendes,3,3,3,0.67,13.26,0,2026-03-13 11:32:43.867769+00,0
82,2025-03-13,city,Teresina,3,3,3,0.67,6.16,0,2026-03-13 11:32:43.867769+00,0
83,2025-03-13,city,Tiete,3,3,3,0.33,43.88,0,2026-03-13 11:32:43.867769+00,0
98,2025-03-13,city,Acu,2,2,2,1.00,5.10,0,2026-03-13 11:32:43.867769+00,0
99,2025-03-13,city,Bertioga,2,2,2,0.50,5.98,0,2026-03-13 11:32:43.867769+00,0
100,2025-03-13,city,Brusque,2,2,3,0.00,37.50,0,2026-03-13 11:32:43.867769+00,0
101,2025-03-13,city,Camacari,2,2,2,1.00,0.00,0,2026-03-13 11:32:43.867769+00,0
102,2025-03-13,city,Carpina,2,2,2,1.00,0.00,0,2026-03-13 11:32:43.867769+00,0
103,2025-03-13,city,Chapeco,2,2,2,1.00,5.52,0,2026-03-13 11:32:43.867769+00,0
104,2025-03-13,city,Embu-Guacu,2,2,2,1.00,0.00,0,2026-03-13 11:32:43.867769+00,0
105,2025-03-13,city,Fazenda Rio Grande,2,2,2,1.00,0.00,0,2026-03-13 11:32:43.867769+00,0
106,2025-03-13,city,Feira de Santana,2,2,2,0.50,16.48,0,2026-03-13 11:32:43.867769+00,0
107,2025-03-13,city,Florianopolis,2,2,2,0.00,52.28,0,2026-03-13 11:32:43.867769+00,0
108,2025-03-13,city,Formosa,2,2,2,0.50,1.49,0,2026-03-13 11:32:43.867769+00,0
109,2025-03-13,city,Guaiba,2,2,2,1.00,0.00,0,2026-03-13 11:32:43.867769+00,0
110,2025-03-13,city,Guapimirim,2,2,2,0.00,61.87,0,2026-03-13 11:32:43.867769+00,0
111,2025-03-13,city,Guapo,2,2,2,1.00,0.00,0,2026-03-13 11:32:43.867769+00,0
112,2025-03-13,city,Guarulhos,2,1,1,0.00,62.00,0,2026-03-13 11:32:43.867769+00,0
113,2025-03-13,city,Indaiatuba,2,2,2,0.00,127.31,0,2026-03-13 11:32:43.867769+00,0
114,2025-03-13,city,Itatiba,2,2,2,0.50,11.77,0,2026-03-13 11:32:43.867769+00,0
115,2025-03-13,city,Jacarei,2,2,2,1.00,5.49,0,2026-03-13 11:32:43.867769+00,0
116,2025-03-13,city,Jaragua,2,1,2,1.00,2.35,0,2026-03-13 11:32:43.867769+00,0
117,2025-03-13,city,Juatuba,2,2,2,1.00,2.44,0,2026-03-13 11:32:43.867769+00,0
118,2025-03-13,city,Lagarto,2,2,2,1.00,5.27,0,2026-03-13 11:32:43.867769+00,0
119,2025-03-13,city,Lagoa da Prata,2,2,2,1.00,0.00,0,2026-03-13 11:32:43.867769+00,0
120,2025-03-13,city,Londrina,2,2,2,0.00,7.48,0,2026-03-13 11:32:43.867769+00,0
