id,date,item_name,items_viewed,items_added_to_cart,items_purchased,item_revenue,created_at
1,2025-03-13,Comida de Dragão - Original® - 90g / Compra única,368,17,0,0.00,2026-03-13 11:32:43.894274+00
3,2025-03-13,Comida de Dragão - Original® (ASSINATURA) - 90g / Plano mensal,50,2,0,0.00,2026-03-13 11:32:43.894274+00
6,2025-03-13,Mordida de Dragão - Legumes - 180g / Compra única,34,4,0,0.00,2026-03-13 11:32:43.894274+00
7,2025-03-13,Kit Comida de Dragão - Original® (3X) - 90g / Compra única,28,6,0,0.00,2026-03-13 11:32:43.894274+00
9,2025-03-13,Kit Completo Comida de Dragão (3X) - 180g / Compra única,21,4,0,0.00,2026-03-13 11:32:43.894274+00
10,2025-03-13,Mordida de Dragão - Spirulina - 180g / Compra única,21,0,0,0.00,2026-03-13 11:32:43.894274+00
14,2025-03-13,Kit Mordida de Dragão - Legumes (3X) (ASSINATURA) - 180g / Plano mensal,14,1,0,0.00,2026-03-13 11:32:43.894274+00
19,2025-03-13,Kit Mordida de Dragão - Legumes (3X) - 180g / Compra única,7,0,0,0.00,2026-03-13 11:32:43.894274+00
20,2025-03-13,Kit Mordida de Dragão - Spirulina (3X) - 180g / Compra única,7,0,0,0.00,2026-03-13 11:32:43.894274+00
52,2025-03-13,Comida de Dragão - Original®,0,0,2,70.00,2026-03-13 11:32:43.894274+00
53,2025-03-13,Kit Mordida de Dragão - Legumes (3X) (ASSINATURA),0,0,1,105.00,2026-03-13 11:32:43.894274+00
54,2025-03-13,Mordida de Dragão - Legumes,0,0,2,84.00,2026-03-13 11:32:43.894274+00
2,2025-03-14,Comida de Dragão - Original® - 90g / Compra única,66,13,0,0.00,2026-03-13 11:32:43.894274+00
13,2025-03-14,Mordida de Dragão - Legumes - 180g / Compra única,15,1,0,0.00,2026-03-13 11:32:43.894274+00
16,2025-03-14,Kit Completo Comida de Dragão (3X) - 180g / Compra única,9,4,0,0.00,2026-03-13 11:32:43.894274+00
21,2025-03-14,Mordida de Dragão - Spirulina - 180g / Compra única,6,0,0,0.00,2026-03-13 11:32:43.894274+00
25,2025-03-14,Kit Comida de Dragão - Original® (3X) - 90g / Compra única,4,1,0,0.00,2026-03-13 11:32:43.894274+00
30,2025-03-14,Kit Mordida de Dragão - Legumes (3X) (ASSINATURA) - 180g / Plano mensal,3,0,0,0.00,2026-03-13 11:32:43.894274+00
31,2025-03-14,Kit Completo Comida de Dragão (3X) (ASSINATURA) - 180g / Plano mensal,2,0,0,0.00,2026-03-13 11:32:43.894274+00
32,2025-03-14,Kit Mordida de Dragão - Spirulina (3X) - 180g / Compra única,2,0,0,0.00,2026-03-13 11:32:43.894274+00
40,2025-03-14,Comida de Dragão - Original® (ASSINATURA) - 90g / Plano mensal,1,5,0,0.00,2026-03-13 11:32:43.894274+00
41,2025-03-14,Kit Mordida de Dragão - Legumes (3X) - 180g / Compra única,1,0,0,0.00,2026-03-13 11:32:43.894274+00
55,2025-03-14,Comida de Dragão - Original®,0,0,1,35.00,2026-03-13 11:32:43.894274+00
56,2025-03-14,Comida de Dragão - Original® (ASSINATURA),0,0,2,63.00,2026-03-13 11:32:43.894274+00
57,2025-03-14,Kit Completo Comida de Dragão (3X),0,0,1,110.30,2026-03-13 11:32:43.894274+00
33,2025-03-15,Kit Comida de Dragão - Original® (3X) - 90g / Compra única,2,1,0,0.00,2026-03-13 11:32:43.894274+00
34,2025-03-15,Kit Completo Comida de Dragão (3X) - 180g / Compra única,2,0,0,0.00,2026-03-13 11:32:43.894274+00
15,2025-03-15,Comida de Dragão - Original® - 90g / Compra única,12,2,0,0.00,2026-03-13 11:32:43.894274+00
26,2025-03-15,Mordida de Dragão - Spirulina - 180g / Compra única,4,3,0,0.00,2026-03-13 11:32:43.894274+00
42,2025-03-15,Comida de Dragão - Original® (ASSINATURA) - 90g / Plano mensal,1,0,0,0.00,2026-03-13 11:32:43.894274+00
