id,date,source_medium,sessions,users,new_users,transactions,purchase_revenue,add_to_carts,checkouts,created_at
4,2025-03-13,(direct) / (none),68,57,57,3,217.00,11,5,2026-03-13 11:32:43.864768+00
8,2025-03-13,google / organic,43,33,22,0,0.00,6,5,2026-03-13 11:32:43.864768+00
16,2025-03-13,facebook / referral,24,24,24,0,0.00,0,0,2026-03-13 11:32:43.864768+00
21,2025-03-13,facebook / organic,17,16,16,0,0.00,0,0,2026-03-13 11:32:43.864768+00
25,2025-03-13,app.clickup.com / referral,9,3,0,0,0.00,5,1,2026-03-13 11:32:43.864768+00
48,2025-03-13,(not set),1,1,0,0,0.00,0,0,2026-03-13 11:32:43.864768+00
49,2025-03-13,facebook.com / referral,1,1,1,0,0.00,0,0,2026-03-13 11:32:43.864768+00
50,2025-03-13,frenet.lightning.force.com / referral,1,1,0,0,0.00,0,0,2026-03-13 11:32:43.864768+00
1,2025-03-13,facebook / (not set),192,189,193,0,0.00,0,0,2026-03-13 11:32:43.864768+00
2,2025-03-13,l.instagram.com / referral,159,152,155,0,0.00,12,5,2026-03-13 11:32:43.864768+00
17,2025-03-13,meta / cpc,24,22,21,0,0.00,0,0,2026-03-13 11:32:43.864768+00
7,2025-03-14,facebook / (not set),49,49,49,0,0.00,0,0,2026-03-13 11:32:43.864768+00
9,2025-03-14,(direct) / (none),42,38,34,2,103.98,8,5,2026-03-13 11:32:43.864768+00
10,2025-03-14,l.instagram.com / referral,39,35,33,0,0.00,6,5,2026-03-13 11:32:43.864768+00
15,2025-03-14,google / organic,25,20,15,1,35.00,6,2,2026-03-13 11:32:43.864768+00
26,2025-03-14,meta / cpc,9,8,7,0,0.00,1,1,2026-03-13 11:32:43.864768+00
32,2025-03-14,facebook / referral,5,5,5,0,0.00,0,0,2026-03-13 11:32:43.864768+00
35,2025-03-14,(not set),4,3,3,0,0.00,0,0,2026-03-13 11:32:43.864768+00
36,2025-03-14,app.clickup.com / referral,4,2,0,0,0.00,0,0,2026-03-13 11:32:43.864768+00
41,2025-03-14,l.facebook.com / referral,2,1,0,0,0.00,2,1,2026-03-13 11:32:43.864768+00
51,2025-03-14,business.facebook.com / referral,1,1,0,0,0.00,0,0,2026-03-13 11:32:43.864768+00
52,2025-03-14,facebook / organic,1,1,1,0,0.00,0,0,2026-03-13 11:32:43.864768+00
53,2025-03-14,service.pagbrasil.com / referral,1,1,0,0,0.00,0,0,2026-03-13 11:32:43.864768+00
11,2025-03-15,(direct) / (none),35,34,33,1,84.00,7,3,2026-03-13 11:32:43.864768+00
22,2025-03-15,l.instagram.com / referral,17,17,15,1,35.00,1,1,2026-03-13 11:32:43.864768+00
30,2025-03-15,google / organic,7,7,5,0,0.00,1,1,2026-03-13 11:32:43.864768+00
42,2025-03-15,(not set),2,1,1,0,0.00,0,0,2026-03-13 11:32:43.864768+00
54,2025-03-15,facebook / (not set),1,1,0,0,0.00,0,0,2026-03-13 11:32:43.864768+00
19,2025-03-16,l.instagram.com / referral,19,19,19,0,0.00,0,0,2026-03-13 11:32:43.864768+00
24,2025-03-16,(direct) / (none),10,10,10,0,0.00,0,0,2026-03-13 11:32:43.864768+00
33,2025-03-16,google / organic,5,4,2,0,0.00,0,0,2026-03-13 11:32:43.864768+00
37,2025-03-16,bing / organic,4,4,4,0,0.00,0,0,2026-03-13 11:32:43.864768+00
55,2025-03-16,(not set),1,1,0,0,0.00,0,0,2026-03-13 11:32:43.864768+00
56,2025-03-16,facebook.com / referral,1,1,1,0,0.00,0,0,2026-03-13 11:32:43.864768+00
23,2025-03-17,google / organic,14,10,8,0,0.00,1,2,2026-03-13 11:32:43.864768+00
27,2025-03-17,l.instagram.com / referral,9,9,9,0,0.00,0,0,2026-03-13 11:32:43.864768+00
34,2025-03-17,(direct) / (none),5,3,1,1,59.58,7,3,2026-03-13 11:32:43.864768+00
43,2025-03-17,app.clickup.com / referral,2,2,0,0,0.00,0,0,2026-03-13 11:32:43.864768+00
44,2025-03-17,linktr.ee / referral,2,2,2,0,0.00,0,0,2026-03-13 11:32:43.864768+00
57,2025-03-17,shopify.com / referral,1,1,0,0,0.00,0,0,2026-03-13 11:32:43.864768+00
6,2025-03-18,m.facebook.com / referral,57,57,57,0,0.00,0,0,2026-03-13 11:32:43.864768+00
