id,synced_at,breakdown_type,breakdown_value,count
ee0f8607-b2d2-42da-9f2e-8c3bd7793357,2026-03-12 16:56:57.097+00,country,DE,1
eab3e081-247a-445a-ac2e-b79e793d6ebc,2026-03-12 16:56:57.097+00,country,NO,2
efb1922f-9bfc-4bfe-a729-047d6230283a,2026-03-12 16:56:57.097+00,country,PT,16
7fc2b8f8-c4f9-4f55-974b-dfba5aa73920,2026-03-12 16:56:57.097+00,country,PY,6
36acdf36-126b-43a1-a8ce-e898a4a55661,2026-03-12 16:56:57.097+00,country,DO,1
ba29f8d2-1759-497b-8406-0fc12fd28812,2026-03-12 16:56:57.097+00,country,NZ,2
01378537-a96d-4987-8e99-d3e512d431bc,2026-03-12 16:56:57.097+00,country,FR,3
85c84b40-3cf9-49a7-80c9-9b6b4dbadb98,2026-03-12 16:56:57.097+00,country,BR,7823
635010f9-610e-4d86-be74-f31b7bb8a9c0,2026-03-12 16:56:57.097+00,country,GB,3
14f864bc-8181-4fc2-bb22-73745937508b,2026-03-12 16:56:57.097+00,country,IE,1
2e2ca873-33ed-4761-95dc-130e5b09a19b,2026-03-12 16:56:57.097+00,country,OM,1
c1273594-95bb-48fc-801c-3f7bb359c8ec,2026-03-12 16:56:57.097+00,country,EC,1
2c561543-4335-4c32-8977-4ecda177f351,2026-03-12 16:56:57.097+00,country,CA,3
ba2cf761-bd27-45b2-8c0f-c96845a4ab80,2026-03-12 16:56:57.097+00,country,US,14
c66c85ad-e1a8-46b0-aacd-a12c5308dc7e,2026-03-12 16:56:57.097+00,country,IN,1
fe088ccb-de8d-4d44-8879-7ab0180b3622,2026-03-12 16:56:57.097+00,country,CH,1
1e0eb374-1c83-490c-ba8b-cbc94363420b,2026-03-12 16:56:57.097+00,country,CL,3
fc0027be-b0b5-4b83-8682-f304c07d5463,2026-03-12 16:56:57.097+00,country,CN,1
658377e2-2c5e-4e82-a042-5293aba9c598,2026-03-12 16:56:57.097+00,country,MX,2
dd51d868-7a52-49ec-9981-bca6982ae911,2026-03-12 16:56:57.097+00,country,IT,4
716c0a69-10c9-49b5-934c-3158704b7f3f,2026-03-12 16:56:57.097+00,country,CO,7
c154dce2-8c92-4f1e-b2a8-c5dde435880b,2026-03-12 16:56:57.097+00,country,ES,1
33f47a2e-9e77-481b-ae31-81ba29ea0f1f,2026-03-12 16:56:57.097+00,country,AO,1
689ef692-9966-47c0-89a1-9926f34d4bc2,2026-03-12 16:56:57.097+00,country,VE,5
c1ba94a8-5217-4d99-8a7a-04d6f0905b53,2026-03-12 16:56:57.097+00,country,PA,2
288453a4-4af1-4426-b4a3-b4b72a70eb38,2026-03-12 16:56:57.097+00,country,AR,6
65ba6128-fa02-44ca-bed6-492d12aa4ae4,2026-03-12 16:56:57.097+00,country,CV,1
52b0f540-23f1-4629-a27f-3545135a6b95,2026-03-12 16:56:57.097+00,country,AU,2
eb7463b3-ebcd-4ae0-9aa2-6b2c197a9bcd,2026-03-12 16:56:57.097+00,country,PE,3
59da6e17-161b-441e-a9b2-86df4b4908bb,2026-03-12 16:56:57.097+00,country,PL,1
5e6377b4-4704-4901-8333-837fb84417a0,2026-03-12 16:56:57.097+00,country,NL,2
6346dc2d-a912-47a7-80b2-f83d435d2df0,2026-03-12 16:56:57.097+00,city,"São Caetano do Sul, São Paulo (state)",33
8cf7b56e-0543-442f-a6e9-47733d1d946f,2026-03-12 16:56:57.097+00,city,"Ribeirão Prêto, São Paulo (state)",54
ab011c16-6e9d-46d0-adb3-b0cfb5397374,2026-03-12 16:56:57.097+00,city,"São Paulo, São Paulo (state)",1087
356c5dc0-c8be-4973-8965-683305db6462,2026-03-12 16:56:57.097+00,city,"Blumenau, Santa Catarina",36
d77e1a6d-7d34-4832-8228-6c76508715d6,2026-03-12 16:56:57.097+00,city,"São Luís, Maranhão",32
e40b1900-7ac0-4d92-a451-858c0b64a8c2,2026-03-12 16:56:57.097+00,city,"Rio de Janeiro, Rio de Janeiro (state)",1368
73628465-68c2-4175-83b8-bcaaa5ef93fd,2026-03-12 16:56:57.097+00,city,"Mogi das Cruzes, São Paulo (state)",26
4e53211d-92bf-49e1-a7cd-6c26e4d56d27,2026-03-12 16:56:57.097+00,city,"São José dos Campos, São Paulo (state)",62
afb989f5-e700-4a70-8760-0b6dc9f96df7,2026-03-12 16:56:57.097+00,city,"Jundiaí, São Paulo (state)",26
788bd239-4d69-4e62-8068-4ff3f7c1e679,2026-03-12 16:56:57.097+00,city,"Osasco, São Paulo (state)",33
85920f89-30fc-4df4-9216-bfe0f1059deb,2026-03-12 16:56:57.097+00,city,"Maricá, Rio de Janeiro (state)",30
d89579b4-7afd-4543-a7f0-1eb76d23a354,2026-03-12 16:56:57.097+00,city,"Uberlândia, Minas Gerais",34
ba2a46f6-97d3-49f6-bbb4-0b0c4a07e853,2026-03-12 16:56:57.097+00,city,"Porto Alegre, Rio Grande do Sul",147
f73052b9-afcf-44e2-ad84-126b50cc52fa,2026-03-12 16:56:57.097+00,city,"Campo Grande, Mato Grosso do Sul",42
876c809b-bebf-413a-b7bc-71258d1c14e4,2026-03-12 16:56:57.097+00,city,"Duque de Caxias, Rio de Janeiro (state)",30
a1247c57-da82-4bc6-9edd-f495ac9ce94c,2026-03-12 16:56:57.097+00,city,"Itajaí, Santa Catarina",29
758b0afa-e24d-4c78-a5bc-f83e79760e3f,2026-03-12 16:56:57.097+00,city,"Londrina, Paraná",39
b0ba9013-feb4-484e-8dfd-868c2429d614,2026-03-12 16:56:57.097+00,city,"Recife, Pernambuco",53
